Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,13.54,13.80,13.15,13.74,4952700,13.74
2011-12-29,13.12,14.02,13.05,13.85,5952400,13.85
2011-12-28,13.32,13.32,13.05,13.12,2742700,13.12
2011-12-27,12.91,13.33,12.72,13.21,3709800,13.21
2011-12-23,12.96,13.11,12.81,12.99,1623100,12.99
2011-12-22,12.97,13.14,12.85,12.94,2799400,12.94
2011-12-21,12.86,13.01,12.73,12.89,2788700,12.89
2011-12-20,12.62,12.93,12.49,12.93,6537000,12.93
2011-12-19,11.92,12.60,11.85,12.57,8695300,12.57
2011-12-16,11.70,11.94,11.57,11.82,3224300,11.82
2011-12-15,11.59,11.96,11.45,11.48,3660500,11.48
2011-12-14,11.30,11.36,11.08,11.11,2366700,11.11
2011-12-13,11.44,11.47,11.18,11.34,2058700,11.34
2011-12-12,11.44,11.62,11.24,11.30,2753800,11.30
2011-12-09,11.38,11.43,11.31,11.32,1236000,11.32
2011-12-08,11.70,11.73,11.25,11.28,1319100,11.28
2011-12-07,11.46,11.94,11.26,11.82,2989900,11.82
2011-12-06,11.42,11.68,11.34,11.45,2762600,11.45
2011-12-05,11.02,11.54,10.93,11.35,2457600,11.35
2011-12-02,11.03,11.03,10.73,10.75,1549600,10.75
2011-12-01,10.82,11.03,10.79,10.79,1812800,10.79
2011-11-30,10.67,10.85,10.47,10.82,2148500,10.82
2011-11-29,10.22,10.39,10.17,10.26,1701000,10.26
2011-11-28,10.19,10.47,10.08,10.22,1919000,10.22
2011-11-25,9.86,10.04,9.82,9.93,543900,9.93
2011-11-23,10.28,10.36,9.89,9.92,3606500,9.92
2011-11-22,10.41,10.53,10.31,10.42,1664100,10.42
2011-11-21,10.58,10.94,10.45,10.46,2149600,10.46
2011-11-18,11.11,11.11,10.85,10.88,993100,10.88
2011-11-17,10.83,11.08,10.69,11.02,2750000,11.02
2011-11-16,10.95,11.05,10.86,10.88,1186600,10.88
2011-11-15,11.18,11.21,10.88,11.05,1767400,11.05
2011-11-14,11.29,11.30,11.06,11.26,1416300,11.26
2011-11-11,11.14,11.23,10.99,11.21,1132500,11.21
2011-11-10,11.15,11.20,10.87,11.00,1363300,11.00
2011-11-09,11.34,11.38,10.88,10.93,2709700,10.93
2011-11-08,11.89,11.95,11.43,11.51,2292300,11.51
2011-11-07,11.88,11.92,11.57,11.75,2095200,11.75
2011-11-04,11.86,12.07,11.52,11.91,3386200,11.91
2011-11-03,11.84,11.96,11.65,11.88,2325000,11.88
